DATABASE_ID
HMDB0240219
HMDB0030748
HMDB0014645
HMDB0002035
HMDB0000034
HMDB0240224
HMDB0003217
HMDB0000022
HMDB0001107
HMDB0250362
HMDB0014426
HMDB0000870
HMDB0014693
HMDB0015126
HMDB0001930
HMDB0001564
HMDB0258993
HMDB0000098
HMDB0036861
HMDB0252201
HMDB0014684
HMDB0037571
HMDB0000732
HMDB0014853
HMDB0035588
HMDB0041254
HMDB0247252
HMDB0015493
HMDB0246766
HMDB0001015
HMDB0015094
HMDB0000500
HMDB0035214
HMDB0001889
HMDB0001123
HMDB0015028
HMDB0042008
HMDB0001314
HMDB0041965
HMDB0029412
HMDB0244494
HMDB0001198
HMDB0007970
HMDB0015210
HMDB0251213
HMDB0034344
HMDB0014747
HMDB0037340
HMDB0007853
HMDB0000929
HMDB0001058
HMDB0037932
HMDB0248993
HMDB0002757
HMDB0003331
HMDB0015192
HMDB0244741
HMDB0015393
HMDB0031793
HMDB0252292
HMDB0259025
HMDB0034301
HMDB0254527
HMDB0242676
HMDB0256013
HMDB0042019
HMDB0014967
HMDB0014758
HMDB0002096
HMDB0003920
HMDB0258766
HMDB0012199
HMDB0001432
HMDB0001624
HMDB0001544
HMDB0002327
HMDB0029943
HMDB0034853
HMDB0014659
HMDB0015159
HMDB0247029
HMDB0036620
HMDB0001256
HMDB0005016
HMDB0000896
HMDB0014998
HMDB0000998
HMDB0041797
HMDB0015655
HMDB0002097
HMDB0059964
HMDB0002655
HMDB0141782
HMDB0247906
HMDB0015381
HMDB0004610
HMDB0060475
HMDB0002670
HMDB0000306
HMDB0032616
HMDB0000893
HMDB0038982
HMDB0037340
HMDB0033987
HMDB0253544
HMDB0037374
HMDB0000197
HMDB0014868
HMDB0004366
HMDB0003647
HMDB0001849
HMDB0014507
HMDB0014624
HMDB0005794
HMDB0000904
HMDB0034534
HMDB0002338
HMDB0001058
HMDB0000193
HMDB0000719
HMDB0014797
HMDB0244231
HMDB0001848
HMDB0000064
HMDB0012209
HMDB0244465
HMDB0007972
HMDB0037479
HMDB0037696
HMDB0015548
HMDB0030819
HMDB0015324
HMDB0014758
HMDB0255282
HMDB0000107
HMDB0034122
HMDB0003072
HMDB0246504
HMDB0000157
HMDB0029703
HMDB0015563
HMDB0000149
HMDB0000162
HMDB0000262
HMDB0003357
HMDB0000033
HMDB0000239
HMDB0014558
HMDB0031511
HMDB0250930
HMDB0240498
HMDB0245189
HMDB0000177
HMDB0014781
HMDB0032609
HMDB0028853
HMDB0014507
HMDB0254199
HMDB0029379
HMDB0258967
HMDB0258468
HMDB0014584
HMDB0015329
HMDB0247956
HMDB0001487
HMDB0014659
HMDB0000929
HMDB0000027
HMDB0240498
HMDB0240712
HMDB0030544
HMDB0015037
HMDB0008927
HMDB0005047
HMDB0255227
HMDB0256825
HMDB0059964
HMDB0035155
HMDB0251851
HMDB0125163
HMDB0252292
HMDB0001064
HMDB0007218
HMDB0034996
HMDB0035162
HMDB0002894
HMDB0015363
HMDB0034202
HMDB0000234
HMDB0004095
HMDB0015028
HMDB0000661
HMDB0000929
HMDB0000020
HMDB0000764
HMDB0015159
HMDB0258614
HMDB0250496
HMDB0015465
HMDB0029737
HMDB0011733
HMDB0034315
HMDB0014589
HMDB0029752
HMDB0256598
HMDB0000868
HMDB0247291
HMDB0014911
HMDB0000175
HMDB0029648
HMDB0000099
HMDB0014323
HMDB0000538
HMDB0000868
HMDB0010720
HMDB0015317
HMDB0033751
HMDB0014853
HMDB0000089
HMDB0000121
HMDB0004366
HMDB0014797
HMDB0037340
HMDB0028700
HMDB0000030
HMDB0011567
HMDB0001316
HMDB0000292
HMDB0032876
HMDB0014672
HMDB0062397
HMDB0258868
HMDB0014724
HMDB0040292
HMDB0060475
HMDB0015200
HMDB0251427
HMDB0030341
HMDB0000058
HMDB0034122
HMDB0240702
HMDB0014588
HMDB0000929
HMDB0061933
HMDB0014474
HMDB0002151
HMDB0000930
HMDB0015688
HMDB0014677
HMDB0001860
HMDB0029521
HMDB0014626
HMDB0249673
HMDB0014466
HMDB0031816
HMDB0012897
